"","BB_1_12S","BB_2_12S","BB_3_12S","BB_4_12S","MB_1_12S","MB_2_12S","MB_3_12S","MuB_1_12S","MuB_2_12S","MuB_3_12S","MuB_4_12S","PB_e1_12S","PB_e2_12S","PB_e3_12S","PL_1_12S","PL_2_12S","PL_3_12S","PL_4_12S","SB_1_12S","SB_2_12S","SB_3_12S","SS3_1_12S","SS3_2_12S","SS3_3_12S","SS4_1_12S","SS4_2_12S","SS4_3_12S","WS_1_12S","WS_2_12S","WS_3_12S","WS_4_12S"
"BB_1_12S",0,0.0359731879039785,0.0329021297782479,0.00972044330587142,64.243812766547,64.2170195659228,64.1985612020868,108.527610628131,108.523284534008,108.523272944311,108.519868406829,82.6928343514711,82.6862123015922,82.6830037765041,12.4207932534876,12.4263292225,12.4366979994934,12.4206631218835,83.3636306004344,83.3622981052459,83.3566562039288,68.8870133058132,68.8737411959977,68.9059299596696,67.8565109754088,67.8927049921577,67.9118396160491,104.111924491276,104.108613027405,104.105185322831,104.112683216559
"BB_2_12S",0.0359731879039785,0,0.00311431280341284,0.0446084575327045,64.2694639367118,64.2426638037839,64.2241982390076,108.543669985057,108.539347714377,108.539337657967,108.535927356792,82.7176148901695,82.7109940198254,82.7077861899808,12.4562174361127,12.4617470487944,12.4721074893833,12.4560837536141,83.387411461926,83.3860817107388,83.3804420739962,68.9118157799554,68.8985389903592,68.9307369808776,67.881385780556,67.91757512758,67.9367110187818,104.126180177439,104.122871642818,104.119446340958,104.126936614497
"BB_3_12S",0.0329021297782479,0.00311431280341284,0,0.0414980071937622,64.2669242887579,64.2401246510831,64.2216596008586,108.54185434491,108.537531773693,108.537521596769,108.534111748608,82.7151379411985,82.7085169854547,82.7053091052766,12.4531034816844,12.4586331437296,12.4689936534167,12.4529698264017,83.3850073595722,83.3836774071499,83.3780376043207,68.9093371882654,68.8960607372282,68.92825806028,67.878901952912,67.9150916376655,67.9342274373518,104.124507137966,104.121198370381,104.117772877435,104.125263757003
"BB_4_12S",0.00972044330587142,0.0446084575327045,0.0414980071937622,0,64.2343741503866,64.2075815891144,64.1891238898973,108.519439795086,108.51511307555,108.515101235055,108.511697640426,82.6834799174507,82.6768577480719,82.6736491525517,12.4116983821041,12.4172308765493,12.4275951405235,12.4115663057697,83.3543823341398,83.3530495346855,83.3474073823439,68.8776567427022,68.8643851064318,68.8965729366081,67.8471471312032,67.8833416166649,67.9024761130965,104.104057244886,104.10074527468,104.097317154822,104.104816365748
"MB_1_12S",64.243812766547,64.2694639367118,64.2669242887579,64.2343741503866,0,0.0320901219668198,0.0578207474149597,52.1358253204859,52.12669888367,52.1246181533872,52.1292813331343,18.6137487165351,18.6067347920406,18.6032906824677,54.4622298663486,54.4497012280522,54.4310277099812,54.4576238706121,19.8240520519514,19.8207926386924,19.8136854590912,5.13859660391734,5.13165779662077,5.15087555259073,4.1300634294617,4.1677351863633,4.1830834925263,50.7488147513317,50.7415000146626,50.7348749952018,50.7529224076568
"MB_2_12S",64.2170195659228,64.2426638037839,64.2401246510831,64.2075815891144,0.0320901219668198,0,0.026014553768185,52.1436202299008,52.1344998127788,52.1324219087836,52.1370736408306,18.6375923813899,18.6305818517583,18.6271398371225,54.4379429291226,54.4254121030729,54.4067365339081,54.433334880537,19.8443128940173,19.8410634406028,19.8339631658396,5.15485515187453,5.14782616539477,5.16723451872268,4.1446062196965,4.18232030489077,4.19774950070264,50.7521747799412,50.7448641549621,50.7382422952925,50.7562786766965
"MB_3_12S",64.1985612020868,64.2241982390076,64.2216596008586,64.1891238898973,0.0578207474149597,0.026014553768185,0,52.1448429216657,52.1357275318025,52.1336519876083,52.1382941627325,18.6531243808382,18.6461171555091,18.6426771788941,54.4220097287596,54.4094767586938,54.3907991803593,54.4173996673366,19.8564557792531,19.8532155313859,19.8461216459266,5.16346864639526,5.15636004136229,5.17593663557704,4.15174335383193,4.18949290806363,4.20499211891948,50.7497479433953,50.742440657591,50.735821364394,50.7538487877628
"MuB_1_12S",108.527610628131,108.543669985057,108.54185434491,108.519439795086,52.1358253204859,52.1436202299008,52.1448429216657,0,0.0135971714522589,0.0185741109465556,0.0078630595523859,38.1306247830377,38.1374020654124,38.1410127940811,101.622971054885,101.609323097521,101.58990936225,101.616995900431,35.1973915667233,35.2049121176389,35.2138965835262,47.2243002136037,47.2257541208756,47.2184589016853,48.1155274530909,48.080452999648,48.0684353103107,7.35190864960044,7.34629310721613,7.34210667243345,7.35735761372128
"MuB_2_12S",108.523284534008,108.539347714377,108.537531773693,108.51511307555,52.12669888367,52.1344998127788,52.1357275318025,0.0135971714522589,0,0.00516980672832852,0.0146667261416907,38.1190980383441,38.1258759733468,38.1294869771597,101.617400033612,101.603752287071,101.584338499468,101.611425334688,35.1861231666468,35.1936428244671,35.2026273304482,47.2148712454348,47.2163289060904,47.2090254438894,48.1062123684862,48.0711348035674,48.0591139725465,7.35931565311434,7.35368764033704,7.34949005385777,7.36477202656364
"MuB_3_12S",108.523272944311,108.539337657967,108.537521596769,108.515101235055,52.1246181533872,52.1324219087836,52.1336519876083,0.0185741109465556,0.00516980672832852,0,0.0197290257125142,38.1158069383411,38.1225852340674,38.1261963899407,101.616880851423,101.60323319237,101.583819383151,101.610906341436,35.1829730868565,35.1904922633078,35.1994767907197,47.2126474955666,47.2141069443264,47.2067995547972,48.1040427132071,48.0689636744846,48.0569413547783,7.36336061883506,7.35772908909998,7.35352835524036,7.36881907988334
"MuB_4_12S",108.519868406829,108.535927356792,108.534111748608,108.511697640426,52.1292813331343,52.1370736408306,52.1382941627325,0.0078630595523859,0.0146667261416907,0.0197290257125142,0,38.1255158274788,38.132292568913,38.1359030695414,101.615401112122,101.601753118629,101.58233939236,101.609425879572,35.1920775167549,35.1995987476619,35.2085831827265,47.2178919948585,47.2193441572257,47.2120527722549,48.1090669763631,48.0739939318671,48.0619776658983,7.34601783307604,7.34039659342557,7.33620507347776,7.35147018813365
"PB_e1_12S",82.6928343514711,82.7176148901695,82.7151379411985,82.6834799174507,18.6137487165351,18.6375923813899,18.6531243808382,38.1306247830377,38.1190980383441,38.1158069383411,38.1255158274788,0,0.00760511229052567,0.0114879849202428,73.0727267078691,73.0601668482167,73.0414640218393,73.0680913182356,3.19890712660647,3.1903506677705,3.1822559715655,13.8059564235312,13.8191750496798,13.7871047487506,14.8387567345621,14.8023317150375,14.7832642163904,38.9504051301315,38.94138536017,38.9335028906394,38.9562074888903
"PB_e2_12S",82.6862123015922,82.7109940198254,82.7085169854547,82.6768577480719,18.6067347920406,18.6305818517583,18.6461171555091,38.1374020654124,38.1258759733468,38.1225852340674,38.132292568913,0.00760511229052567,0,0.00389280403025058,73.0657609586833,73.0532013335189,73.0344987254669,73.0611257906691,3.20384919911636,3.19529390382325,3.1871921437662,13.7993197271413,13.8125416988381,13.7804647892958,14.8320745880199,14.7956523856156,14.7765839824889,38.9564094838556,38.947390175972,38.9395080230126,38.9622113211637
"PB_e3_12S",82.6830037765041,82.7077861899808,82.7053091052766,82.6736491525517,18.6032906824677,18.6271398371225,18.6426771788941,38.1410127940811,38.1294869771597,38.1261963899407,38.1359030695414,0.0114879849202428,0.00389280403025058,0,73.0623462915915,73.0497868100475,73.0310843357188,73.0577112593096,3.20663231166642,3.19807757323746,3.18997250009893,13.796102953788,13.809326900418,13.7772460893533,14.8288308896488,14.7924103583234,14.7733414195932,38.9596808382778,38.9506617392983,38.9427797294665,38.965482439853
"PL_1_12S",12.4207932534876,12.4562174361127,12.4531034816844,12.4116983821041,54.4622298663486,54.4379429291226,54.4220097287596,101.622971054885,101.617400033612,101.616880851423,101.615401112122,73.0727267078691,73.0657609586833,73.0623462915915,0,0.0137566910111174,0.0330870920373181,0.00704457156370413,74.0615355920105,74.0593237769513,74.0529811951732,59.3468591075283,59.3352264718348,59.3641362989835,58.3007024376034,58.3381431441321,58.3567085229576,97.8305315599905,97.8262597549946,97.8220483594944,97.8320508104667
"PL_2_12S",12.4263292225,12.4617470487944,12.4586331437296,12.4172308765493,54.4497012280522,54.4254121030729,54.4094767586938,101.609323097521,101.603752287071,101.60323319237,101.601753118629,73.0601668482167,73.0532013335189,73.0497868100475,0.0137566910111174,0,0.0194184927072985,0.00793044608220715,74.0487544092013,74.0465431638238,74.0402010196603,59.3341759326531,59.3225420468285,59.3514544067314,58.2880246676845,58.325464683832,58.3440305839428,97.8168018402489,97.8125301130341,97.808318780754,97.8183210283375
"PL_3_12S",12.4366979994934,12.4721074893833,12.4689936534167,12.4275951405235,54.4310277099812,54.4067365339081,54.3907991803593,101.58990936225,101.584338499468,101.583819383151,101.58233939236,73.0414640218393,73.0344987254669,73.0310843357188,0.0330870920373181,0.0194184927072985,0,0.0271957364621761,74.029851553069,74.0276408055646,74.0212990439371,59.3153601729597,59.3037251606724,59.3326398031628,58.2692137906914,58.3066531834148,58.3252195539057,97.7974540001707,97.793182123612,97.7889706702198,97.7989733083154
"PL_4_12S",12.4206631218835,12.4560837536141,12.4529698264017,12.4115663057697,54.4576238706121,54.433334880537,54.4173996673366,101.616995900431,101.611425334688,101.610906341436,101.609425879572,73.0680913182356,73.0611257906691,73.0577112593096,0.00704457156370413,0.00793044608220715,0.0271957364621761,0,74.0566848297032,74.054473586532,74.0481314439941,59.3421053267641,59.3304714710378,59.359383769525,58.295953926727,58.3333939605531,58.3519598473319,97.8243327298532,97.8200612269898,97.8158500767782,97.8258517377206
"SB_1_12S",83.3636306004344,83.387411461926,83.3850073595722,83.3543823341398,19.8240520519514,19.8443128940173,19.8564557792531,35.1973915667233,35.1861231666468,35.1829730868565,35.1920775167549,3.19890712660647,3.20384919911636,3.20663231166642,74.0615355920105,74.0487544092013,74.029851553069,74.0566848297032,0,0.00858005287603265,0.0169697635071931,14.7674118308602,14.7776883333387,14.7515694204758,15.8145516991627,15.7765737795237,15.7586165105508,35.8233366126629,35.8143879170593,35.8065544435454,35.8290595260298
"SB_2_12S",83.3622981052459,83.3860817107388,83.3836774071499,83.3530495346855,19.8207926386924,19.8410634406028,19.8532155313859,35.2049121176389,35.1936428244671,35.1904922633078,35.1995987476619,3.1903506677705,3.19529390382325,3.19807757323746,74.0593237769513,74.0465431638238,74.0276408055646,74.054473586532,0.00858005287603265,0,0.00898640098837177,14.7645815414475,14.7748662449147,14.7487304299086,15.8117417181509,15.7737658759343,15.7558048077326,35.831544567028,35.8225955910732,35.814761923262,35.8372677911127
"SB_3_12S",83.3566562039288,83.3804420739962,83.3780376043207,83.3474073823439,19.8136854590912,19.8339631658396,19.8461216459266,35.2138965835262,35.2026273304482,35.1994767907197,35.2085831827265,3.1822559715655,3.1871921437662,3.18997250009893,74.0529811951732,74.0402010196603,74.0212990439371,74.0481314439941,0.0169697635071931,0.00898640098837177,0,14.7577794266169,14.7680700784189,14.7419220102161,15.8049541621588,15.7669798360108,15.7490160098914,35.8402997416449,35.8313509927255,35.8235174821474,35.8460227138742
"SS3_1_12S",68.8870133058132,68.9118157799554,68.9093371882654,68.8776567427022,5.13859660391734,5.15485515187453,5.16346864639526,47.2243002136037,47.2148712454348,47.2126474955666,47.2178919948585,13.8059564235312,13.7993197271413,13.796102953788,59.3468591075283,59.3341759326531,59.3153601729597,59.3421053267641,14.7674118308602,14.7645815414475,14.7577794266169,0,0.0181461674236136,0.0224177486282624,1.04785009377461,1.01005347595983,0.991831330603409,46.1137777048658,46.1061710284008,46.0993227755333,46.1181551155366
"SS3_2_12S",68.8737411959977,68.8985389903592,68.8960607372282,68.8643851064318,5.13165779662077,5.14782616539477,5.15636004136229,47.2257541208756,47.2163289060904,47.2141069443264,47.2193441572257,13.8191750496798,13.8125416988381,13.809326900418,59.3352264718348,59.3225420468285,59.3037251606724,59.3304714710378,14.7776883333387,14.7748662449147,14.7680700784189,0.0181461674236136,0,0.0403946056224028,1.0371208744865,0.999249879982854,0.981128274834153,46.112405661244,46.1048014158787,46.0979550132545,46.1167808025593
"SS3_3_12S",68.9059299596696,68.9307369808776,68.92825806028,68.8965729366081,5.15087555259073,5.16723451872268,5.17593663557704,47.2184589016853,47.2090254438894,47.2067995547972,47.2120527722549,13.7871047487506,13.7804647892958,13.7772460893533,59.3641362989835,59.3514544067314,59.3326398031628,59.359383769525,14.7515694204758,14.7487304299086,14.7419220102161,0.0224177486282624,0.0403946056224028,0,1.06440248438069,1.02668951526964,1.00836907512965,46.1113679610631,46.1037582916654,46.096907761232,46.1157481661885
