"","PB","SS3","SS4","MB","SB","BB","PL","WS","MuB"
"PB",0,13.8020012813865,14.8196257241923,18.6125164636302,3.19524888335778,82.7151379411985,73.0414640218393,38.9335028906394,38.1158069383411
"SS3",13.8020012813865,0,1.03221317526515,5.13900497797428,14.760846238323,68.9132757570353,59.3196766037714,46.094297704735,47.2075241369704
"SS4",14.8196257241923,1.03221317526515,0,4.14538385191112,15.7923079313182,67.8978781108756,58.2890369977766,46.8772457083585,48.0846325082081
"MB",18.6125164636302,5.13900497797428,4.14538385191112,0,19.8189596941343,64.2664722632755,54.4320216951179,50.7265410028565,52.1174063934795
"SB",3.19524888335778,14.760846238323,15.7923079313182,19.8189596941343,0,83.3835924591295,74.0280854553945,35.8102545859647,35.1865488901018
"BB",82.7151379411985,68.9132757570353,67.8978781108756,64.2664722632755,83.3835924591295,0,12.4689936534167,104.117772877435,108.537521596769
"PL",73.0414640218393,59.3196766037714,58.2890369977766,54.4320216951179,74.0280854553945,12.4689936534167,0,97.7889706702198,101.583819383151
"WS",38.9335028906394,46.094297704735,46.8772457083585,50.7265410028565,35.8102545859647,104.117772877435,97.7889706702198,0,7.35352835524036
"MuB",38.1158069383411,47.2075241369704,48.0846325082081,52.1174063934795,35.1865488901018,108.537521596769,101.583819383151,7.35352835524036,0
