"","PB","SS3","SS4","MB","SB","BB","PL","WS","MuB"
"PB",0,14.6026799002829,15.4241996931862,19.6589281112335,3.08899260145308,88.1867595711849,74.9657662050712,82.3804894903261,74.7918597715939
"SS3",14.6026799002829,0,0.999734251829677,5.23446266987693,15.265042497065,73.7622941298283,60.5413007637147,86.2669152544754,78.6782855357432
"SS4",15.4241996931862,0.999734251829677,0,4.23472841804725,16.264295874266,72.7625598779986,59.541566511885,87.0884350473787,79.4998053286465
"MB",19.6589281112335,5.23446266987693,4.23472841804725,0,20.4990242923133,68.5279116007829,55.3069182346693,91.3231634654259,83.7345337466938
"SB",3.08899260145308,15.265042497065,16.264295874266,20.4990242923133,0,89.0268557522647,75.805862386151,83.5767789779079,75.9881492591758
"BB",88.1867595711849,73.7622941298283,72.7625598779986,68.5279116007829,89.0268557522647,0,14.4267901132854,159.850994925377,152.262365206645
"PL",74.9657662050712,60.5413007637147,59.541566511885,55.3069182346693,75.805862386151,14.4267901132854,0,146.630001559264,139.041371840531
"WS",82.3804894903261,86.2669152544754,87.0884350473787,91.3231634654259,83.5767789779079,159.850994925377,146.630001559264,0,11.9865396798984
"MuB",74.7918597715939,78.6782855357432,79.4998053286465,83.7345337466938,75.9881492591758,152.262365206645,139.041371840531,11.9865396798984,0
